3.5,6.2,90.1,55,2500,75,4500,45.2,54.8,1250
4.1,7.8,92.5,65,3500,80,5500,51.3,48.7,1800
2.8,4.5,85.2,80,1500,50,3000,60.1,39.9,800
5.0,9.5,95.3,45,4000,90,6500,55.5,44.5,2500
4.8,9.1,94.8,30,4200,88,6200,50.8,49.2,2800
6.5,8.9,93.2,50,5000,95,7000,48.9,51.1,3000
5.9,7.1,89.5,60,2000,60,4000,58.7,41.3,1100
4.5,8.5,91.8,40,3000,85,5000,52.4,47.6,1500
5.2,9.8,96.1,25,3800,92,6000,53.1,46.9,2300
3.1,5.5,87.0,70,1800,65,3500,56.9,43.1,950
3.9,6.5,88.7,75,1700,58,3200,59.3,40.7,850
4.0,6.8,89.2,78,2100,62,3800,57.5,42.5,900
6.0,8.0,91.0,42,3200,80,5100,54.2,45.8,1600
5.5,8.2,90.5,48,3100,78,4800,53.9,46.1,1550
5.1,9.6,95.9,35,3900,89,6100,54.1,45.9,2400
5.3,9.7,96.5,28,4100,91,6300,56.0,44.0,2600
6.8,8.8,92.9,52,4800,94,6800,47.8,52.2,3100
6.1,7.5,88.1,68,2200,68,4100,59.1,40.9,1200
5.8,7.3,89.0,62,2150,65,4050,58.5,41.5,1150
2.5,4.0,84.1,85,1400,48,2800,62.5,37.5,750
2.9,4.2,85.0,82,1350,49,2750,61.8,38.2,700
